CGPA	Python_Skill	SQL_Skill	Machine_Learning_Skill	Projects	Internship	Communication_Skill	Problem_Solving_Skill	Deep_Learning_Skill	Data_Analysis_Skill	Job_Role
7.3	2	3	5	3	1	4	3	1	5	Data Analyst
7.54	4	4	2	6	1	4	5	3	3	Data Analyst
6.65	5	3	3	4	1	4	2	5	2	Data Analyst
7.3	5	3	2	1	1	1	1	5	3	AI Engineer
8.77	1	3	2	0	1	4	1	5	1	AI Engineer
8.12	5	5	1	6	0	2	4	2	2	Data Analyst
9.16	4	2	5	3	0	2	5	1	3	ML Engineer
8.66	1	5	5	1	1	1	4	3	3	AI Engineer
8	3	4	1	1	0	1	4	3	3	Data Analyst
9.17	5	5	2	4	0	5	2	2	5	Data Analyst
8	2	5	3	2	1	2	3	1	4	AI Engineer
8.35	1	4	2	3	1	2	1	1	1	Data Analyst
7.33	5	2	4	6	1	3	2	2	3	ML Engineer
7.66	5	4	2	1	0	4	4	4	3	ML Engineer
6.97	5	4	1	4	1	3	5	1	1	ML Engineer
8.49	5	2	2	3	0	3	5	1	2	ML Engineer
6.54	5	4	3	1	1	5	5	2	5	ML Engineer
8.3	3	2	1	2	0	3	1	5	2	AI Engineer
7.43	1	3	5	3	1	4	5	5	3	AI Engineer
8.65	4	4	1	2	1	5	2	3	2	Data Analyst
8.28	2	1	1	1	1	4	4	1	1	AI Engineer
9.24	3	2	3	1	0	1	5	1	2	Data Analyst
8.26	4	4	3	1	1	2	5	5	4	Data Analyst
6.19	5	3	2	1	0	4	4	3	5	ML Engineer
7.54	2	5	2	4	1	3	2	1	4	Data Analyst
6.55	2	1	1	2	0	2	3	5	5	Data Analyst
7.13	4	4	4	2	0	2	4	3	4	Data Analyst
8.96	1	5	2	2	1	1	3	2	4	Data Analyst
8.17	3	5	1	4	1	2	3	3	3	Data Analyst
6.97	4	1	2	0	1	4	3	2	1	AI Engineer
6.69	3	5	5	2	0	1	3	5	3	Data Analyst
7.63	2	2	2	2	1	5	1	4	5	Data Analyst
6.51	5	2	5	3	0	2	5	1	3	ML Engineer
7	2	2	2	0	0	5	1	4	4	AI Engineer
7.88	4	4	1	1	1	2	5	1	1	AI Engineer
8.64	3	4	2	3	0	5	1	3	2	Data Analyst
8.15	1	3	2	0	1	3	3	4	2	AI Engineer
5.54	3	1	1	0	0	5	3	1	2	Data Analyst
7.87	1	5	3	3	0	1	3	4	5	Data Analyst
7.66	5	2	2	1	1	4	3	2	3	AI Engineer
7.97	4	1	4	1	0	2	5	4	4	AI Engineer
9.05	2	3	3	8	1	2	1	3	4	Data Analyst
5.74	3	3	3	6	1	1	5	1	3	ML Engineer
7.07	4	4	3	4	0	5	4	4	5	Data Analyst
8.13	2	5	1	6	1	4	4	2	2	Data Analyst
6.18	2	1	4	4	0	5	1	5	1	AI Engineer
8.93	3	2	1	1	0	3	1	5	4	Data Analyst
7.93	2	3	4	2	0	1	2	1	4	Data Analyst
8.36	4	4	5	3	1	2	2	4	2	AI Engineer
7.09	1	4	4	1	1	3	4	2	5	Data Analyst
8.33	5	2	3	3	1	1	5	4	1	ML Engineer
8.56	2	4	2	2	1	5	3	3	2	Data Analyst
7.81	3	5	5	3	0	5	4	2	1	Data Analyst
7.81	1	3	2	1	1	3	1	4	1	Data Analyst
7.84	2	5	3	0	1	3	4	2	4	Data Analyst
6.82	4	4	4	4	1	4	1	5	4	ML Engineer
7.47	2	2	5	7	1	4	4	5	4	AI Engineer
7.46	1	2	5	2	1	1	2	1	5	Data Analyst
7.95	3	4	1	6	0	3	3	4	1	Data Analyst
8.5	1	2	5	2	1	4	2	5	4	ML Engineer
6.65	2	2	1	1	1	5	3	1	1	ML Engineer
7.49	3	2	3	2	1	3	5	4	5	Data Analyst
8.93	3	4	5	3	0	5	5	5	4	Data Analyst
6.93	4	2	4	0	1	3	2	2	4	Data Analyst
6.86	4	4	5	1	0	2	2	3	3	AI Engineer
7.78	5	5	2	1	1	3	3	4	2	AI Engineer
8.36	1	5	2	2	1	4	4	2	4	Data Analyst
7.61	2	5	2	3	0	5	1	2	5	Data Analyst
8.8	1	1	2	1	1	2	4	2	1	ML Engineer
8.37	1	3	4	2	0	2	5	2	5	ML Engineer
8.36	2	2	3	4	1	4	5	4	4	Data Analyst
8.1	3	5	4	1	1	4	3	2	1	ML Engineer
9.69	5	4	3	3	0	2	2	2	5	Data Analyst
7.42	4	2	2	4	1	4	2	5	1	AI Engineer
5.8	4	3	1	2	0	1	4	3	4	Data Analyst
9.04	4	4	3	1	1	2	3	5	1	ML Engineer
7.19	1	3	5	4	1	5	1	4	1	AI Engineer
7.7	5	3	5	5	0	3	4	5	4	ML Engineer
8.78	5	1	2	2	1	5	1	1	4	Data Analyst
6.16	1	3	3	3	1	2	5	5	4	AI Engineer
6.47	3	2	4	3	1	2	3	5	2	AI Engineer
6.16	5	5	4	1	1	5	2	1	5	Data Analyst
6.89	3	5	1	3	1	5	1	2	1	Data Analyst
8	5	4	3	3	1	5	1	3	5	Data Analyst
8.07	5	1	1	1	0	2	5	3	2	AI Engineer
7.85	3	5	1	1	0	5	3	4	4	Data Analyst
6.33	1	2	4	2	1	3	5	4	5	AI Engineer
5.52	2	3	1	1	0	5	5	2	2	AI Engineer
7.65	2	5	2	6	1	5	1	4	3	Data Analyst
7.18	3	5	3	4	0	3	2	5	5	Data Analyst
8.01	3	1	4	5	1	2	5	3	5	ML Engineer
8.23	3	2	3	1	1	5	3	5	2	ML Engineer
7.72	1	4	1	1	0	3	3	4	3	Data Analyst
8.28	2	3	4	4	0	3	3	5	2	AI Engineer
7.81	4	2	5	5	1	4	4	5	3	ML Engineer
8.08	1	3	5	3	1	5	5	1	2	ML Engineer
6.97	2	5	4	3	1	1	5	5	1	ML Engineer
7.44	5	2	3	2	1	5	4	1	5	Data Analyst
7.78	1	4	5	3	1	3	3	5	4	Data Analyst
8.34	3	4	3	3	0	1	2	5	3	AI Engineer
7.25	2	5	1	2	1	2	1	2	1	Data Analyst
8.07	1	2	5	2	0	3	4	1	1	ML Engineer
7.36	3	2	2	2	0	4	1	3	3	ML Engineer
7.49	3	3	5	0	1	3	4	2	4	ML Engineer
8.35	1	3	2	1	1	1	3	3	2	ML Engineer
5.81	1	3	5	3	1	3	4	1	4	ML Engineer
6.43	1	4	3	1	1	2	5	1	2	AI Engineer
6.27	4	4	3	4	1	2	3	3	1	Data Analyst
5.5	5	2	2	0	0	4	3	4	3	Data Analyst
6.99	1	4	5	3	1	5	3	2	1	ML Engineer
8.27	2	2	1	2	1	1	2	2	1	ML Engineer
7.34	2	3	3	2	1	4	1	1	1	Data Analyst
7.78	2	1	2	1	1	3	1	2	2	Data Analyst
8.58	2	2	3	1	1	2	4	2	3	ML Engineer
8.79	1	5	2	2	1	4	5	2	5	Data Analyst
7.54	3	3	4	2	1	2	1	2	2	ML Engineer
8.82	2	4	2	1	1	4	2	2	1	Data Analyst
7.68	2	1	1	1	1	3	4	4	1	AI Engineer
6.85	2	4	1	1	0	1	4	2	2	Data Analyst
7.07	5	2	4	2	1	4	4	4	2	ML Engineer
6.27	4	4	2	1	0	5	4	4	2	ML Engineer
6.8	3	5	2	5	1	3	1	4	5	Data Analyst
7.28	2	3	4	0	1	4	2	3	2	ML Engineer
8.32	5	1	2	1	1	1	3	5	4	AI Engineer
9.15	5	3	2	0	0	2	1	2	4	Data Analyst
6.36	1	1	2	1	1	2	2	5	1	ML Engineer
7.95	5	3	2	1	1	4	2	2	2	ML Engineer
6.66	4	1	4	3	0	2	5	1	3	ML Engineer
8.03	1	4	3	2	1	4	2	5	3	Data Analyst
7.48	4	2	5	1	0	2	5	5	1	ML Engineer
5.95	1	2	4	2	1	4	4	1	4	AI Engineer
8.44	1	1	1	1	0	2	4	3	2	Data Analyst
7.06	1	5	2	2	1	3	5	3	2	Data Analyst
7.12	3	5	2	1	1	1	5	2	4	Data Analyst
6.64	4	5	3	2	1	4	2	3	5	Data Analyst
7.01	3	1	2	6	0	1	3	4	5	AI Engineer
7.99	1	2	5	4	1	5	3	3	5	Data Analyst
7.43	1	5	2	1	1	5	5	3	3	AI Engineer
7.9	5	3	3	4	0	3	1	5	1	AI Engineer
7.93	5	1	1	3	0	5	3	2	2	ML Engineer
8.79	4	1	5	1	0	5	2	4	2	ML Engineer
7.29	1	2	5	2	1	1	2	2	2	AI Engineer
6.27	5	5	4	6	0	4	4	5	2	AI Engineer
8.56	4	1	2	5	1	2	2	2	1	ML Engineer
7.3	3	5	1	1	1	5	4	5	1	Data Analyst
8.6	1	4	4	4	1	5	5	4	4	Data Analyst
7.95	5	5	3	3	1	5	4	2	3	Data Analyst
7.48	3	5	5	0	1	3	1	4	1	AI Engineer
7.91	1	2	4	3	0	1	1	2	3	AI Engineer
9.36	2	5	3	2	1	1	3	2	5	Data Analyst
9.47	3	1	5	4	0	1	3	2	3	AI Engineer
7.66	1	2	5	1	0	5	4	4	2	Data Analyst
7.74	2	2	3	1	1	3	3	2	2	AI Engineer
8.57	3	1	1	3	0	2	1	3	2	Data Analyst
6.84	5	1	1	3	0	3	5	3	2	ML Engineer
7.9	1	1	3	4	1	1	5	1	5	ML Engineer
7.58	3	1	3	2	0	3	4	2	5	AI Engineer
7.88	5	2	1	5	0	3	4	2	2	Data Analyst
6.85	5	1	1	3	1	4	5	2	5	Data Analyst
6.17	5	1	4	6	1	1	3	5	5	ML Engineer
5.73	1	5	4	2	1	5	1	2	1	Data Analyst
6.59	5	1	1	5	0	1	4	3	3	ML Engineer
7.19	5	1	3	2	1	3	3	4	4	AI Engineer
7.34	2	1	1	5	1	2	4	4	3	ML Engineer
9.34	3	1	4	0	0	4	4	4	3	ML Engineer
8.6	3	3	5	2	0	4	3	3	3	ML Engineer
6.73	3	5	5	0	0	1	2	5	4	Data Analyst
7.91	2	4	3	3	1	3	3	5	2	Data Analyst
7.23	5	3	4	3	0	3	4	2	3	ML Engineer
7.34	5	1	5	0	1	3	4	1	2	ML Engineer
7.77	2	4	4	1	1	1	3	2	5	AI Engineer
8.16	5	1	3	2	0	1	3	5	1	AI Engineer
7.29	2	4	4	3	1	3	5	5	1	Data Analyst
8.56	4	3	3	1	0	2	2	4	1	AI Engineer
