CGPA,Python_Skill,SQL_Skill,Machine_Learning_Skill,Deep_Learning_Skill,Data_Analysis_Skill,Statistics_Skill,Programming_Skill,DSA_Skill,Web_Development_Skill,Cybersecurity_Skill,Networking_Skill,Linux_Skill,Cloud_Skill,DevOps_Skill,NLP_Skill,Computer_Vision_Skill,OpenCV_Skill,Projects,Internship,Communication_Skill,Problem_Solving_Skill,Job_Role
9.18,4,5,5,4,3,1,1,3,1,4,5,1,4,2,4,5,4,3,1,2,5,AI Engineer
9.46,5,3,5,4,2,1,3,2,4,4,2,4,5,5,5,1,2,1,0,4,4,AI Engineer
8.9,4,5,5,5,5,4,4,1,1,5,4,2,1,5,4,4,2,0,1,4,4,AI Engineer
6.52,5,3,4,4,1,3,3,4,2,4,2,3,3,4,5,4,2,4,1,1,5,AI Engineer
7.93,5,1,4,5,2,3,2,3,2,4,2,2,1,2,1,5,1,4,0,2,4,AI Engineer
8.23,4,3,5,5,5,5,2,5,2,4,1,4,5,4,4,4,5,5,1,5,5,AI Engineer
6.75,4,4,4,5,5,3,2,2,1,2,3,2,5,1,3,1,3,5,1,5,5,AI Engineer
6.69,5,5,4,5,5,4,4,4,2,5,4,5,3,3,4,5,5,3,0,4,4,AI Engineer
7.37,5,5,4,4,5,2,2,5,5,5,2,5,5,4,1,3,1,2,0,5,4,AI Engineer
9.3,4,4,5,5,1,5,4,5,2,5,2,5,1,1,1,1,1,4,1,4,5,AI Engineer
6.65,4,4,4,4,3,1,1,4,5,3,5,4,1,5,5,1,3,1,1,2,5,AI Engineer
5.97,5,4,4,5,3,3,4,3,3,2,5,5,2,4,1,1,1,0,0,4,4,AI Engineer
6.05,4,2,4,4,5,4,4,3,2,5,5,4,2,3,2,1,2,5,1,1,5,AI Engineer
7.44,5,4,4,5,3,1,5,3,2,1,4,1,2,5,5,5,4,3,1,1,5,AI Engineer
8.89,4,2,4,5,5,4,3,2,3,4,5,3,5,5,1,3,3,0,1,4,4,AI Engineer
8.1,4,1,5,4,3,1,4,3,2,2,3,1,2,5,3,3,2,0,1,5,4,AI Engineer
7.99,5,1,5,4,5,1,4,3,3,3,5,2,4,5,4,4,2,5,1,2,5,AI Engineer
7.26,5,4,4,4,4,1,4,5,3,5,2,4,4,2,2,3,4,4,1,5,4,AI Engineer
5.85,5,5,4,4,5,4,1,1,2,4,1,3,4,3,3,1,4,5,1,5,4,AI Engineer
8.37,4,1,4,4,1,4,5,2,2,3,5,3,1,5,1,3,5,3,1,3,5,AI Engineer
9.34,5,4,4,4,2,5,4,2,4,2,3,1,1,4,1,4,4,1,0,5,5,AI Engineer
8.46,4,3,5,5,2,1,5,4,1,5,4,3,4,2,2,3,1,3,0,4,4,AI Engineer
8.97,4,5,4,5,4,1,5,2,5,2,5,3,2,5,1,3,3,5,0,2,5,AI Engineer
7.07,5,2,4,4,1,5,5,2,4,2,3,1,1,1,2,2,1,0,0,2,5,AI Engineer
8.49,5,5,4,4,3,2,3,3,1,5,4,2,4,4,5,4,4,0,1,2,4,AI Engineer
8.02,5,3,5,5,2,4,3,4,1,3,2,3,3,5,3,3,4,3,1,1,5,AI Engineer
9.07,5,2,4,4,4,2,3,5,3,3,2,3,1,4,1,5,4,3,0,5,5,AI Engineer
9.09,5,3,4,5,5,5,5,2,4,4,2,3,3,5,1,3,1,5,1,3,5,AI Engineer
6.44,5,5,5,5,2,3,4,4,1,3,2,4,4,1,5,2,3,5,0,3,5,AI Engineer
6.6,5,3,4,5,1,3,2,2,3,1,1,5,4,3,3,3,1,3,1,2,5,AI Engineer
6.96,5,1,4,4,2,1,5,3,1,5,5,4,4,4,1,1,3,3,0,1,5,AI Engineer
8.43,4,2,5,5,3,3,3,4,1,1,2,1,3,3,3,2,3,5,0,3,4,AI Engineer
9.83,5,3,4,5,5,4,1,1,1,4,1,3,5,3,1,3,1,0,0,4,5,AI Engineer
9.34,4,4,5,4,2,5,5,5,4,5,3,4,1,5,5,1,5,0,0,1,4,AI Engineer
5.79,4,1,4,5,4,5,5,3,4,1,5,3,4,4,4,4,4,0,1,5,5,AI Engineer
9.78,5,2,4,5,4,2,3,3,4,2,1,1,5,5,1,3,3,1,0,1,5,AI Engineer
8.16,4,4,4,4,2,5,5,1,2,3,1,1,5,1,1,1,5,4,1,1,4,AI Engineer
9.43,4,5,5,4,4,3,4,5,5,5,4,5,1,5,2,4,2,4,1,3,4,AI Engineer
5.51,4,2,5,4,1,4,2,5,3,4,4,1,1,4,2,3,1,5,0,1,4,AI Engineer
8.55,4,2,4,4,1,4,3,4,3,5,2,5,3,2,1,1,4,1,0,3,4,AI Engineer
8.1,5,1,5,4,3,2,4,3,5,1,5,2,4,4,2,3,3,1,0,5,4,AI Engineer
7.44,5,4,4,4,2,4,5,4,5,1,1,4,3,5,2,4,2,2,1,2,4,AI Engineer
5.82,5,2,5,4,1,4,1,5,2,5,3,3,3,5,4,2,3,5,0,1,5,AI Engineer
7.36,4,2,4,5,5,5,2,4,5,3,4,2,4,1,1,5,5,2,1,3,5,AI Engineer
5.64,4,1,5,4,5,5,3,3,3,2,2,5,3,2,1,5,4,5,1,5,4,AI Engineer
7.95,4,2,4,5,3,5,1,3,4,2,1,2,3,5,5,4,5,0,1,5,5,AI Engineer
6.52,5,4,5,5,4,5,1,4,1,2,4,1,3,3,2,4,4,2,0,2,4,AI Engineer
6.86,4,3,4,4,2,1,3,5,3,2,4,3,4,5,3,1,4,3,1,3,4,AI Engineer
6.84,5,5,5,5,5,3,3,2,2,5,4,2,1,3,1,3,3,2,0,3,4,AI Engineer
5.9,4,1,5,4,5,5,5,4,1,1,4,3,2,1,2,4,3,5,0,3,5,AI Engineer
9.14,5,3,4,4,1,2,2,4,4,2,2,2,5,4,2,3,3,4,1,2,4,AI Engineer
9.29,5,3,4,5,1,1,1,2,2,4,4,4,2,2,4,4,5,0,0,5,5,AI Engineer
7.84,5,2,4,5,1,4,1,1,1,2,5,2,2,1,2,1,5,4,0,2,4,AI Engineer
9.69,4,3,4,5,4,4,2,3,5,3,1,4,3,5,1,2,2,0,0,3,4,AI Engineer
9.3,4,5,4,5,4,3,1,4,1,1,5,4,3,3,4,5,2,1,0,5,5,AI Engineer
7.23,4,1,5,4,5,2,5,5,4,2,1,1,3,1,4,5,5,0,0,2,5,AI Engineer
9.69,5,4,5,4,1,4,5,4,3,3,5,1,1,2,5,4,5,3,1,3,4,AI Engineer
9.6,5,3,4,4,1,4,4,5,3,1,4,2,4,2,1,4,4,1,1,1,5,AI Engineer
6.09,4,1,5,4,5,1,1,2,4,1,4,3,5,4,5,4,3,3,0,5,5,AI Engineer
9.02,5,3,4,4,5,2,2,4,5,4,4,2,4,2,1,5,4,0,1,5,5,AI Engineer
5.84,4,2,4,5,1,2,3,5,3,3,5,5,4,4,3,3,1,0,0,3,5,AI Engineer
6.81,5,1,5,5,4,4,1,3,1,2,3,2,5,2,5,5,2,3,0,1,4,AI Engineer
7.56,5,3,4,5,1,3,5,2,3,4,4,1,4,3,4,3,2,2,1,5,4,AI Engineer
7.57,4,4,4,4,3,5,2,1,3,3,5,2,2,5,2,4,1,1,0,2,4,AI Engineer
9.82,4,5,4,5,5,4,4,2,3,5,2,4,2,3,5,3,1,1,1,5,4,AI Engineer
5.5,5,1,4,5,1,3,4,4,5,3,3,1,3,2,1,2,5,3,0,3,4,AI Engineer
7.11,4,2,5,4,4,2,3,3,1,1,5,2,1,1,2,5,1,3,0,2,5,AI Engineer
7.46,5,3,4,5,4,2,5,5,4,2,4,2,4,5,5,1,3,2,0,3,5,AI Engineer
8.36,4,1,4,5,5,4,2,5,2,4,3,2,1,1,5,4,5,2,1,2,4,AI Engineer
8.94,5,1,5,5,5,4,3,3,4,4,4,3,4,1,5,5,2,0,0,1,4,AI Engineer
8.71,4,5,4,4,3,2,2,3,2,1,1,3,2,1,1,4,4,2,0,1,4,AI Engineer
8.02,5,1,4,4,3,1,2,5,1,1,2,3,1,5,1,5,4,0,0,1,4,AI Engineer
8.66,4,3,4,5,4,2,1,3,3,4,3,2,1,2,5,4,3,3,1,5,4,AI Engineer
7.9,5,5,5,4,4,3,3,2,1,4,4,4,2,3,1,5,3,2,0,1,4,AI Engineer
8.33,4,4,5,4,5,3,4,1,1,5,1,4,5,3,1,2,1,3,1,4,4,AI Engineer
5.75,4,5,5,5,2,2,1,1,2,5,2,1,2,2,5,4,1,3,0,5,5,AI Engineer
7.4,4,2,5,4,3,2,4,2,2,3,3,5,4,3,1,4,4,2,0,4,4,AI Engineer
7.99,4,1,4,5,3,4,3,4,2,5,4,1,3,2,1,2,5,4,1,3,4,AI Engineer
9.47,5,5,5,5,1,5,4,1,1,4,3,1,2,4,1,5,2,2,1,4,5,AI Engineer
8.49,4,4,5,5,1,4,4,5,3,1,3,2,3,4,1,3,1,1,1,3,5,AI Engineer
6.42,4,5,4,5,3,5,2,3,2,1,3,2,2,2,3,4,3,0,0,4,5,AI Engineer
7.29,5,1,4,4,3,1,1,4,4,1,5,1,2,3,5,2,5,5,0,3,5,AI Engineer
9.25,4,4,5,5,3,2,1,5,4,5,3,4,4,1,3,2,1,3,1,4,4,AI Engineer
6.22,4,2,4,5,4,3,3,4,5,1,4,4,4,3,2,1,5,4,0,2,5,AI Engineer
9.43,4,1,5,4,1,1,5,5,1,3,5,3,1,5,2,1,4,4,0,5,5,AI Engineer
7.48,4,4,5,5,5,2,5,4,2,1,1,3,2,3,2,2,4,5,0,5,4,AI Engineer
6.45,4,5,5,4,1,3,3,2,2,1,5,2,2,3,5,1,2,2,1,3,4,AI Engineer
8.63,4,1,4,4,2,1,3,2,1,5,1,1,1,3,1,3,5,4,1,5,4,AI Engineer
6.5,4,1,5,5,1,3,4,3,1,5,3,3,2,1,5,3,3,1,1,1,4,AI Engineer
9.12,4,4,4,5,1,1,5,2,2,5,5,4,5,3,2,5,3,2,1,2,5,AI Engineer
7.18,5,4,5,4,3,3,3,2,1,1,4,4,2,5,1,4,1,2,0,4,5,AI Engineer
8.88,4,3,5,5,3,4,1,4,5,2,1,3,5,2,4,2,5,1,1,1,5,AI Engineer
6.88,5,5,5,5,4,2,4,3,1,2,2,2,4,3,2,2,1,4,0,3,4,AI Engineer
6.69,5,4,4,4,5,3,4,2,5,4,4,2,5,4,4,1,4,5,0,5,4,AI Engineer
6.69,5,2,4,5,5,5,2,2,3,1,5,3,4,4,3,5,3,4,0,3,4,AI Engineer
9.99,4,3,5,4,3,5,3,3,4,5,3,2,1,4,3,2,3,2,0,5,4,AI Engineer
7.31,4,3,5,5,2,5,3,1,4,3,3,2,4,5,3,5,3,2,0,4,5,AI Engineer
9.37,4,5,4,5,2,3,5,4,5,1,3,1,1,2,3,1,4,1,1,1,5,AI Engineer
5.69,5,4,5,5,3,3,4,4,3,4,2,5,5,2,5,1,2,1,0,1,4,AI Engineer
8.17,5,1,4,4,3,5,3,3,5,1,3,3,4,5,2,1,1,2,1,4,4,AI Engineer
5.78,5,1,4,4,3,3,2,2,4,2,2,3,4,2,2,4,5,3,1,5,5,AI Engineer
6.25,5,2,5,5,4,5,5,4,5,2,4,2,2,3,4,5,2,3,1,3,5,AI Engineer
8.31,5,1,4,4,2,1,5,1,2,3,4,1,2,5,1,1,4,3,1,1,5,AI Engineer
7.62,5,4,5,4,2,4,3,1,5,5,1,1,5,3,5,1,4,0,0,4,5,AI Engineer
6.53,5,3,5,4,5,2,5,1,3,2,3,3,4,1,3,5,5,0,0,3,4,AI Engineer
6.49,4,5,4,4,2,1,4,4,5,1,4,1,1,5,1,2,2,5,0,2,5,AI Engineer
8.24,5,1,4,5,5,2,2,1,5,2,5,2,5,3,5,5,1,2,1,3,4,AI Engineer
9.6,4,1,4,5,1,4,3,3,2,1,4,1,5,1,1,3,4,1,1,5,5,AI Engineer
7.26,5,2,4,5,5,2,5,5,3,1,1,3,3,3,1,5,3,2,0,3,4,AI Engineer
8.37,5,5,4,5,4,2,1,3,4,2,5,4,2,1,1,4,4,2,0,3,5,AI Engineer
7.03,5,1,5,5,4,4,3,1,4,5,1,2,3,2,2,1,2,2,1,1,5,AI Engineer
6.3,4,3,4,5,5,4,2,2,2,4,4,4,1,1,2,3,2,4,0,2,4,AI Engineer
9.2,5,5,4,5,4,1,5,1,2,5,1,3,4,4,3,2,5,4,1,5,5,AI Engineer
8.46,4,4,5,5,5,5,2,5,5,5,3,5,5,5,1,3,2,2,1,2,4,AI Engineer
8.46,4,3,4,5,4,2,1,2,5,2,4,1,4,1,5,1,1,3,1,4,5,AI Engineer
9.54,5,1,5,4,1,1,5,3,5,5,3,5,1,5,3,4,5,0,1,3,4,AI Engineer
7.89,5,3,4,5,4,1,1,5,4,3,3,4,3,1,3,3,4,1,0,5,5,AI Engineer
9.25,5,1,5,4,5,5,5,5,3,4,4,5,2,4,5,2,3,4,0,1,3,ML Engineer
9.81,5,5,5,3,2,3,4,5,5,5,4,2,3,5,5,2,5,4,1,4,3,ML Engineer
6.63,5,2,5,3,3,5,3,5,1,4,4,1,1,3,5,3,1,1,0,2,1,ML Engineer
9.96,5,2,5,3,1,3,4,4,5,5,4,1,4,2,5,1,2,2,0,4,4,ML Engineer
7.03,4,2,5,3,3,5,5,3,1,2,4,1,2,2,3,3,1,0,0,3,4,ML Engineer
8.12,5,4,5,5,4,3,4,3,3,3,4,4,5,3,1,5,1,5,0,4,3,ML Engineer
5.93,4,2,5,4,4,3,4,3,3,4,4,3,5,2,5,5,3,3,1,5,4,ML Engineer
7.06,4,5,5,2,5,4,3,4,4,4,4,1,3,3,4,1,4,1,1,2,5,ML Engineer
6.2,5,5,5,2,5,5,4,4,4,3,2,3,1,5,5,3,5,5,0,5,2,ML Engineer
8.28,5,3,5,4,2,5,5,4,1,3,4,1,4,5,2,2,2,0,1,5,3,ML Engineer
9.91,4,3,5,3,1,3,4,4,4,4,4,1,5,2,4,2,1,2,0,5,3,ML Engineer
6.63,5,2,5,3,1,5,3,4,2,4,1,4,2,1,2,1,2,5,1,5,1,ML Engineer
8.53,5,2,5,4,5,4,3,5,5,2,5,2,2,2,4,4,5,3,1,3,2,ML Engineer
9.55,4,4,5,3,5,5,3,4,4,5,3,4,1,5,5,4,1,0,1,1,5,ML Engineer
5.97,5,5,4,1,4,3,3,5,4,3,5,1,5,1,2,5,5,3,0,3,3,ML Engineer
6.92,4,3,4,3,1,5,3,3,1,2,5,4,5,3,1,3,4,2,0,3,5,ML Engineer
9.12,4,3,4,5,4,3,5,3,5,5,3,3,4,2,2,3,2,2,1,3,3,ML Engineer
9.25,4,3,5,2,3,4,4,4,2,4,1,3,3,4,3,5,4,2,1,3,2,ML Engineer
7.02,4,5,4,5,1,4,4,3,1,2,3,4,1,5,2,4,3,2,0,5,5,ML Engineer
7.6,4,3,5,5,5,4,5,3,3,5,4,2,1,2,1,2,1,0,1,3,4,ML Engineer
7.86,5,1,4,5,4,5,5,4,4,3,2,4,1,2,1,5,3,1,1,3,4,ML Engineer
8.55,5,5,4,3,3,5,3,5,2,1,4,3,2,4,4,4,2,5,0,2,4,ML Engineer
6.06,4,3,5,2,5,3,4,5,2,5,4,3,1,5,4,5,1,1,1,2,5,ML Engineer
8.4,5,2,5,5,2,4,4,5,2,3,4,3,2,4,1,2,5,4,1,2,3,ML Engineer
7.6,4,3,5,1,2,3,5,5,2,5,3,2,3,2,5,3,3,0,0,3,4,ML Engineer
5.73,5,2,5,4,3,3,3,3,5,3,1,4,5,5,1,2,1,5,0,5,3,ML Engineer
6.99,5,4,4,1,4,5,5,3,1,3,5,3,1,2,5,3,4,5,1,1,1,ML Engineer
6.99,4,4,4,2,3,5,4,3,5,1,4,2,2,2,2,5,2,0,1,4,4,ML Engineer
8.32,4,5,5,1,1,3,3,4,2,4,4,4,4,3,1,3,4,2,0,3,5,ML Engineer
9.81,5,4,4,4,5,5,3,3,5,1,1,1,3,3,3,5,3,2,1,3,5,ML Engineer
7.62,4,3,5,2,4,3,3,3,5,5,1,5,2,5,5,1,4,2,0,4,2,ML Engineer
6.32,5,5,4,3,2,3,4,3,1,3,2,1,4,5,5,3,1,1,1,1,3,ML Engineer
8.1,5,3,5,3,1,3,5,5,1,2,4,2,2,1,5,5,5,0,1,2,5,ML Engineer
8.75,5,4,4,5,1,4,4,5,1,2,4,1,3,1,4,5,5,1,1,1,4,ML Engineer
9.17,5,1,4,1,5,5,4,4,5,2,5,4,5,4,5,2,4,3,1,5,2,ML Engineer
7.35,5,5,4,2,4,4,5,3,2,1,5,2,4,2,3,2,3,4,0,5,2,ML Engineer
7.29,4,4,4,1,3,5,4,4,1,3,2,4,4,3,2,1,5,3,0,1,4,ML Engineer
6.73,4,1,4,2,3,3,3,3,3,5,3,2,5,3,3,4,3,5,1,2,5,ML Engineer
8.84,4,5,4,1,3,5,5,3,3,2,5,1,2,4,5,1,3,5,1,3,3,ML Engineer
8.69,4,1,4,4,2,4,5,4,2,4,3,5,1,2,5,4,1,5,0,4,5,ML Engineer
7.11,5,5,4,3,2,5,4,3,5,4,5,5,5,3,5,2,2,0,0,2,2,ML Engineer
5.71,5,5,4,4,3,4,4,3,5,2,1,2,1,3,4,2,5,3,0,2,1,ML Engineer
8.75,5,2,4,3,3,3,5,3,1,4,4,2,2,2,1,5,2,0,0,4,4,ML Engineer
8.54,5,2,4,4,3,5,4,5,1,4,1,4,2,3,5,5,2,1,0,2,3,ML Engineer
6.56,4,1,5,3,1,3,4,4,3,4,5,3,1,2,2,1,2,2,1,4,3,ML Engineer
8.53,5,4,5,3,2,5,4,3,5,5,5,1,3,1,3,5,5,5,1,3,3,ML Engineer
5.56,5,1,5,3,4,4,3,3,5,4,3,2,2,2,5,1,5,3,0,4,2,ML Engineer
6.2,5,1,4,5,4,4,4,5,4,5,3,1,5,5,2,2,1,4,1,3,2,ML Engineer
7.65,5,1,5,1,3,3,4,3,1,1,5,4,2,2,2,4,5,2,0,3,5,ML Engineer
9.85,4,4,5,3,2,5,4,3,2,5,1,4,2,1,3,2,1,1,0,4,1,ML Engineer
6.41,5,1,5,1,4,3,4,3,1,5,2,2,3,5,5,2,5,5,1,1,1,ML Engineer
8.78,5,1,5,5,4,3,4,4,3,4,1,5,3,4,5,3,2,3,0,5,2,ML Engineer
6.68,5,1,4,3,1,4,3,4,1,3,3,1,2,3,4,4,5,0,1,5,3,ML Engineer
8.85,5,5,4,4,1,4,4,4,1,2,1,5,4,3,4,4,5,0,0,1,2,ML Engineer
6.85,4,4,5,5,4,4,5,4,1,5,1,4,2,4,4,3,3,1,1,1,5,ML Engineer
7.04,4,4,4,3,5,3,3,3,3,5,3,5,3,5,3,3,2,4,1,5,4,ML Engineer
